Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0xb8484b6d4df14ac373095eddcf93b51b6c023488f94a0178af7ed904294edda8,2022-12-05 17:47:47,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,5981.419924569725,
0x60f1fc33a92cec217feea04fb9267efe112ebeafbda40f46de4bfb0d6c8ff18c,2022-12-05 17:49:23,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,9103.320967603444,
0x60f1fc33a92cec217feea04fb9267efe112ebeafbda40f46de4bfb0d6c8ff18c,2022-12-05 17:49:23,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,1810.591949,
0xc533b04c3689cc75f7cd5842d55f152795e59ca982fe89dc35a544f8190d4e40,2022-12-06 16:22:11,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,3218.1322665393914,
0xcc8588975a8fcb7a8a8af073603d8aa8dfc3215aaa67052fc87d6a3d189f33dc,2022-12-06 16:22:35,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,5867.122225540132,
0xe8485776c2efa03d0c7c8d10d93197638eb13c5956998bf4f74b2e4f36d574fe,2022-12-06 16:27:59,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,9085.254492079523,
0xe8485776c2efa03d0c7c8d10d93197638eb13c5956998bf4f74b2e4f36d574fe,2022-12-06 16:27:59,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,,0.09522076,
0xc7d6fdf511e7dc369fb610a46b7dc1713544083dfbaf710e1c3572ccd46f1556,2022-12-07 17:37:23,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,3573.306098255269,
0xbedbb856cb26a27612197b098a4d6a88c03f16eb3f96c8d03323156e2e8e50ce,2022-12-07 17:37:35,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,6501.43223328374,
0x3f355974838e3ab41cea1b79c045f4087aa28a2efd5770a5b18411120f38b0b8,2022-12-07 17:38:23,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,10074.738331539009,
0x3f355974838e3ab41cea1b79c045f4087aa28a2efd5770a5b18411120f38b0b8,2022-12-07 17:38:23,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,,0.1053803,
0x596aede1ee6d9d6997844ba8af4780d8d49164f931d2a6d461642168e16cc59d,2022-12-09 02:28:11,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,4512.941037653789,
0x012a93b490485e6570b356f94b196f641ee6b9455c3dfa39bdf78e8f0d1f2e85,2022-12-09 02:28:11,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,8430.305339814176,
0x77b3a3caa26eda4cc9b8f39b74493f1405989c6595e5390d94b9d16034dc2809,2022-12-09 02:29:47,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,12943.246377467965,
